Name,Team_to,League_to,Season,Transfer_fee
Sergio Ramos,Real Madrid,La Liga,2005-2006,27000000
Michael Owen,Newcastle,Premier League,2005-2006,25000000
Alberto Gilardino,AC Milan,Serie A,2005-2006,25000000
Robinho,Real Madrid,La Liga,2005-2006,24000000
Patrick Vieira,Juventus,Serie A,2005-2006,20000000
Júlio Baptista,Real Madrid,La Liga,2005-2006,20000000
Albert Luque,Newcastle,Premier League,2005-2006,20000000
Wálter Samuel,Inter,Serie A,2005-2006,16000000
Fred,Olympique Lyon,Ligue 1,2005-2006,15600000
Jermaine Jenas,Spurs,Premier League,2005-2006,15000000
Aleksandr Hleb,Arsenal,Premier League,2005-2006,15000000
Asier del Horno,Chelsea,Premier League,2005-2006,12000000
David Pizarro,Inter,Serie A,2005-2006,12000000
David Villa,Valencia CF,La Liga,2005-2006,12000000
Mohamed Sissoko,Liverpool,Premier League,2005-2006,12000000
Dean Ashton,West Ham,Premier League,2005-2006,10890000
Peter Crouch,Liverpool,Premier League,2005-2006,10500000
Nemanja Vidic<U+200E>,Man Utd,Premier League,2005-2006,10500000
Theo Walcott,Arsenal,Premier League,2005-2006,10500000
Tiago,Olympique Lyon,Ligue 1,2005-2006,10100000
Luca Toni,Fiorentina,Serie A,2005-2006,10000000
Luís Fabiano,Sevilla FC,La Liga,2005-2006,10000000
Emmanuel Adebayor,Arsenal,Premier League,2005-2006,10000000
Martin Petrov,Atlético Madrid,La Liga,2005-2006,10000000
Pepe Reina,Liverpool,Premier League,2005-2006,9800000
Yakubu Aiyegbeni,Middlesbrough,Premier League,2005-2006,9750000
Mateja Kezman,Atlético Madrid,La Liga,2005-2006,9000000
Andy van der Meyde,Everton,Premier League,2005-2006,9000000
Scott Parker,Newcastle,Premier League,2005-2006,9000000
Milan Baros,Aston Villa,Premier League,2005-2006,8840000
Daniel Agger,Liverpool,Premier League,2005-2006,8760000
Marek Jankulovski,AC Milan,Serie A,2005-2006,8500000
Valérien Ismaël,Bayern Munich ,Bundesliga,2005-2006,8500000
Bonaventure Kalou,Paris SG,Ligue 1,2005-2006,8500000
Georgios Samaras,Man City,Premier League,2005-2006,8500000
Miguel,Valencia CF,La Liga,2005-2006,8000000
Andrea Caracciolo,US Palermo,Serie A,2005-2006,8000000
Patrice Evra,Man Utd,Premier League,2005-2006,8000000
Giorgio Chiellini,Juventus,Serie A,2005-2006,7700000
John Carew,Olympique Lyon,Ligue 1,2005-2006,7600000
Jon Dahl Tomasson,VfB Stuttgart,Bundesliga,2005-2006,7500000
Craig Bellamy,Blackburn,Premier League,2005-2006,7500000
Benoît Pedretti,Olympique Lyon,Ligue 1,2005-2006,7500000
Domenico Morfeo,Parma,Serie A,2005-2006,7500000
Stephen Makinwa,US Palermo,Serie A,2005-2006,7500000
Ji-seong Park,Man Utd,Premier League,2005-2006,7300000
Mamadou Niang,Marseille,Ligue 1,2005-2006,7000000
Kevin Kuranyi,FC Schalke 04,Bundesliga,2005-2006,6900000
Per Kröldrup,Everton,Premier League,2005-2006,6800000
Frédéric Kanouté,Sevilla FC,La Liga,2005-2006,6500000
Henri Camara,Wigan,Premier League,2005-2006,6450000
Jan Kromkamp,Villarreal CF,La Liga,2005-2006,6000000
John Utaka,Stade Rennais,Ligue 1,2005-2006,6000000
Camel Meriem,Monaco,Ligue 1,2005-2006,6000000
Benjani,Portsmouth,Premier League,2005-2006,6000000
Manuel Pasqual,Fiorentina,Serie A,2005-2006,6000000
Valon Behrami,Lazio,Serie A,2005-2006,6000000
Antonio Cassano,Real Madrid,La Liga,2005-2006,5500000
Riccardo Montolivo,Fiorentina,Serie A,2005-2006,5500000
Phil Neville,Everton,Premier League,2005-2006,5300000
Simon Davies,Everton,Premier League,2005-2006,5250000
Slobodan Rajkovic,Chelsea,Premier League,2005-2006,5200000
Rafael van der Vaart,Hamburger SV,Bundesliga,2005-2006,5100000
Emre Belözoglu,Newcastle,Premier League,2005-2006,5000000
Torsten Frings,Werder Bremen,Bundesliga,2005-2006,5000000
Maxi Rodríguez,Atlético Madrid,La Liga,2005-2006,5000000
Sylvain Monsoreau,Olympique Lyon,Ligue 1,2005-2006,5000000
Rafinha,FC Schalke 04,Bundesliga,2005-2006,5000000
Jérémy Mathieu,Toulouse,Ligue 1,2005-2006,5000000
Carlos Diogo,Real Madrid,La Liga,2005-2006,5000000
Thomas Kahlenberg,AJ Auxerre,Ligue 1,2005-2006,5000000
Barreto,Udinese Calcio,Serie A,2005-2006,5000000
Michele Canini,Cagliari Calcio,Serie A,2005-2006,5000000
El-Hadji Diouf,Bolton,Premier League,2005-2006,4800000
Wilfred Bouma,Aston Villa,Premier League,2005-2006,4700000
Tom Huddlestone,Spurs,Premier League,2005-2006,4700000
Mikael Forssell,Birmingham,Premier League,2005-2006,4500000
Darren Bent,Charlton,Premier League,2005-2006,4500000
Nathan Ellington,West Brom,Premier League,2005-2006,4500000
Curtis Davies,West Brom,Premier League,2005-2006,4500000
Lassana Diarra,Chelsea,Premier League,2005-2006,4500000
Emiliano Bonazzoli,Parma,Serie A,2005-2006,4150000
Per Kröldrup,Fiorentina,Serie A,2005-2006,4000000
Cicinho,Real Madrid,La Liga,2005-2006,4000000
Edwin van der Sar,Man Utd,Premier League,2005-2006,4000000
Pablo García,Real Madrid,La Liga,2005-2006,4000000
Andreas Ivanschitz,RB Salzburg,Bundesliga,2005-2006,4000000
Eduardo Costa,Espanyol,La Liga,2005-2006,4000000
Lorik Cana,Marseille,Ligue 1,2005-2006,4000000
Mike Hanke,VfL Wolfsburg,Bundesliga,2005-2006,4000000
Alex Song,Arsenal,Premier League,2005-2006,4000000
Patrick Müller,Olympique Lyon,Ligue 1,2005-2006,3800000
Yossi Benayoun,West Ham,Premier League,2005-2006,3750000
Paul Scharner,Wigan,Premier League,2005-2006,3670000
Darius Vassell,Man City,Premier League,2005-2006,3600000
Ewerthon,Real Zaragoza,La Liga,2005-2006,3500000
Grzegorz Rasiak,Spurs,Premier League,2005-2006,3500000
Alberto Rivera,Real Betis,La Liga,2005-2006,3500000
Grafite,Le Mans,Ligue 1,2005-2006,3500000
Jonás Gutiérrez,RCD Mallorca,La Liga,2005-2006,3500000
Pablo Zabaleta,Espanyol,La Liga,2005-2006,3500000
Bryan Bergougnoux,Toulouse,Ligue 1,2005-2006,3400000
Danny Murphy,Spurs,Premier League,2005-2006,3210000
Vikash Dhorasoo,Paris SG,Ligue 1,2005-2006,3200000
Jesper Grönkjaer,VfB Stuttgart,Bundesliga,2005-2006,3000000
Santos,Toulouse,Ligue 1,2005-2006,3000000
Aruna Dindane,Lens,Ligue 1,2005-2006,3000000
Albert Riera,Espanyol,La Liga,2005-2006,3000000
Alou Diarra,Lens,Ligue 1,2005-2006,3000000
Frédéric Piquionne,Saint-Étienne,Ligue 1,2005-2006,3000000
Pascal Feindouno,Saint-Étienne,Ligue 1,2005-2006,3000000
Fabrice Pancrate,Paris SG,Ligue 1,2005-2006,3000000
Andrew O'Brien,Portsmouth,Premier League,2005-2006,3000000
Abou Diaby,Arsenal,Premier League,2005-2006,3000000
Mohamed Zidan,Werder Bremen,Bundesliga,2005-2006,3000000
Erik Edman,Stade Rennais,Ligue 1,2005-2006,3000000
David Rozehnal,Paris SG,Ligue 1,2005-2006,3000000
Hossam Ghaly,Spurs,Premier League,2005-2006,3000000
Moumouni Dagano,FC Sochaux,Ligue 1,2005-2006,3000000
Luis García,Espanyol,La Liga,2005-2006,3000000
Marcus Bent,Charlton,Premier League,2005-2006,3000000
Wayne Routledge,Spurs,Premier League,2005-2006,3000000
David Connolly,Wigan,Premier League,2005-2006,3000000
Leonardo Pisculichi,RCD Mallorca,La Liga,2005-2006,3000000
Carlos Vela,Arsenal,Premier League,2005-2006,3000000
Alessandro Gamberini,Fiorentina,Serie A,2005-2006,3000000
Abdul Kader Keita,LOSC Lille,Ligue 1,2005-2006,3000000
Sebastián Taborda,Dep. La Coruña,La Liga,2005-2006,3000000
Aritz Aduriz,Athletic Bilbao,La Liga,2005-2006,3000000
Mikel Arteta,Everton,Premier League,2005-2006,2800000
Emanuel Pogatetz,Middlesbrough,Premier League,2005-2006,2710000
Jon Stead,Sunderland,Premier League,2005-2006,2700000
Julio dos Santos,Bayern Munich ,Bundesliga,2005-2006,2700000
Dennis Oliech,FC Nantes,Ligue 1,2005-2006,2700000
Enzo Maresca,Sevilla FC,La Liga,2005-2006,2500000
Luis Jiménez,Fiorentina,Serie A,2005-2006,2500000
Wesley Sonck,Bor. M'gladbach,Bundesliga,2005-2006,2500000
Thimothée Atouba,Hamburger SV,Bundesliga,2005-2006,2500000
Bakari Koné,OGC Nice,Ligue 1,2005-2006,2500000
Luciano Galletti,Atlético Madrid,La Liga,2005-2006,2500000
Nunes,RCD Mallorca,La Liga,2005-2006,2500000
Mark González,Liverpool,Premier League,2005-2006,2500000
Morten Skoubo,Real Sociedad,La Liga,2005-2006,2500000
Bostjan Cesar,Marseille,Ligue 1,2005-2006,2500000
Edixon Perea,G. Bordeaux,Ligue 1,2005-2006,2500000
Naldo,Werder Bremen,Bundesliga,2005-2006,2400000
Jhon Viáfara,Portsmouth,Premier League,2005-2006,2400000
Michael Brown,Fulham,Premier League,2005-2006,2300000
Sören Larsen,FC Schalke 04,Bundesliga,2005-2006,2300000
Nolberto Solano,Newcastle,Premier League,2005-2006,2250000
Paul Konchesky,West Ham,Premier League,2005-2006,2250000
Diomansy Kamara,West Brom,Premier League,2005-2006,2250000
Darren Carter,West Brom,Premier League,2005-2006,2250000
Damien Francis,Wigan,Premier League,2005-2006,2250000
Ivica Dragutinovic,Sevilla FC,La Liga,2005-2006,2100000
Santiago Solari,Inter,Serie A,2005-2006,2000000
Nuno Valente,Everton,Premier League,2005-2006,2000000
Young-pyo Lee,Spurs,Premier League,2005-2006,2000000
Rabiu Afolabi,FC Sochaux,Ligue 1,2005-2006,2000000
Patrick Owomoyela,Werder Bremen,Bundesliga,2005-2006,2000000
Sébastien Mazure,Saint-Étienne,Ligue 1,2005-2006,2000000
Miguel Ángel,Real Betis,La Liga,2005-2006,2000000
Javier Arizmendi,Dep. La Coruña,La Liga,2005-2006,2000000
Danny Gabbidon,West Ham,Premier League,2005-2006,2000000
James Collins,West Ham,Premier League,2005-2006,2000000
Heidar Helguson,Fulham,Premier League,2005-2006,2000000
Ben Foster,Man Utd,Premier League,2005-2006,2000000
Andriy Shevchenko,Chelsea,Premier League,2006-2007,43300000
Michael Carrick,Man Utd,Premier League,2006-2007,27200000
Mahamadou Diarra,Real Madrid,La Liga,2006-2007,26000000
Joaquín,Valencia CF,La Liga,2006-2007,25000000
Zlatan Ibrahimovic,Inter,Serie A,2006-2007,24800000
Sergio Agüero,Atlético Madrid,La Liga,2006-2007,21700000
Fernando Gago,Real Madrid,La Liga,2006-2007,20500000
John Mikel Obi,Chelsea,Premier League,2006-2007,20000000
Dirk Kuyt,Liverpool,Premier League,2006-2007,18000000
Émerson,Real Madrid,La Liga,2006-2007,16000000
Obafemi Martins,Newcastle,Premier League,2006-2007,16000000
Dimitar Berbatov,Spurs,Premier League,2006-2007,15700000
Damien Duff,Newcastle,Premier League,2006-2007,15500000
Ruud van Nistelrooy,Real Madrid,La Liga,2006-2007,15000000
Ricardo Oliveira,AC Milan,Serie A,2006-2007,15000000
Carlos Tévez,West Ham,Premier League,2006-2007,14600000
Javier Mascherano,West Ham,Premier League,2006-2007,14600000
Gianluca Zambrotta,FC Barcelona,La Liga,2006-2007,14000000
Khalid Boulahrouz,Chelsea,Premier League,2006-2007,13200000
Ashley Young,Aston Villa,Premier League,2006-2007,13200000
David Pizarro,AS Roma,Serie A,2006-2007,13000000
Matthew Upson,West Ham,Premier League,2006-2007,12600000
Didier Zokora,Spurs,Premier League,2006-2007,12350000
Nicolas Anelka,Bolton,Premier League,2006-2007,12000000
Eidur Gudjohnsen,FC Barcelona,La Liga,2006-2007,12000000
Gonzalo Higuaín,Real Madrid,La Liga,2006-2007,12000000
Pablo Aimar,Real Zaragoza,La Liga,2006-2007,11000000
Cani,Villarreal CF,La Liga,2006-2007,11000000
Andy Johnson,Everton,Premier League,2006-2007,11000000
Vincent Kompany,Hamburger SV,Bundesliga,2006-2007,10500000
Lukas Podolski,Bayern Munich ,Bundesliga,2006-2007,10000000
Tomás Rosicky,Arsenal,Premier League,2006-2007,10000000
Francesco Tavano,Valencia CF,La Liga,2006-2007,10000000
Stiliyan Petrov,Aston Villa,Premier League,2006-2007,10000000
Pascal Chimbonda,Spurs,Premier League,2006-2007,10000000
Patrick Vieira,Inter,Serie A,2006-2007,9500000
Jermaine Pennant,Liverpool,Premier League,2006-2007,9100000
Maniche,Atlético Madrid,La Liga,2006-2007,9000000
Craig Bellamy,Liverpool,Premier League,2006-2007,9000000
Fernando Cavenaghi,G. Bordeaux,Ligue 1,2006-2007,9000000
Javier Chevantón,Sevilla FC,La Liga,2006-2007,8900000
Robert Huth,Middlesbrough,Premier League,2006-2007,8900000
Amauri,US Palermo,Serie A,2006-2007,8750000
Matías Fernández,Villarreal CF,La Liga,2006-2007,8700000
Rafael Sóbis,Real Betis,La Liga,2006-2007,8500000
Daniel Van Buyten,Bayern Munich ,Bundesliga,2006-2007,8000000
Adrian Mutu,Fiorentina,Serie A,2006-2007,8000000
Kim Källström,Olympique Lyon,Ligue 1,2006-2007,8000000
Massimo Oddo,AC Milan,Serie A,2006-2007,7750000
Ronaldo,AC Milan,Serie A,2006-2007,7500000
Asier del Horno,Valencia CF,La Liga,2006-2007,7500000
Emile Heskey,Wigan,Premier League,2006-2007,7500000
Ederson,OGC Nice,Ligue 1,2006-2007,7500000
Ashley Cole,Chelsea,Premier League,2006-2007,7400000
Fabio Cannavaro,Real Madrid,La Liga,2006-2007,7000000
Jérémy Toulalan,Olympique Lyon,Ligue 1,2006-2007,7000000
Maicon,Inter,Serie A,2006-2007,6800000
Luís Boa Morte,West Ham,Premier League,2006-2007,6800000
Mido,Spurs,Premier League,2006-2007,6750000
Joleon Lescott,Everton,Premier League,2006-2007,6500000
Marcelo,Real Madrid,La Liga,2006-2007,6500000
Stefan Kießling,Bay. Leverkusen,Bundesliga,2006-2007,6500000
David Odonkor,Real Betis,La Liga,2006-2007,6500000
Stephen Makinwa,Lazio,Serie A,2006-2007,6300000
Alou Diarra,Olympique Lyon,Ligue 1,2006-2007,6250000
Costinha,Atlético Madrid,La Liga,2006-2007,6000000
Mark van Bommel,Bayern Munich ,Bundesliga,2006-2007,6000000
Nikola Zigic,Racing,La Liga,2006-2007,6000000
Georgios Seitaridis,Atlético Madrid,La Liga,2006-2007,6000000
Diego,Werder Bremen,Bundesliga,2006-2007,6000000
Joris Mathijsen,Hamburger SV,Bundesliga,2006-2007,6000000
Ilan,Saint-Étienne,Ligue 1,2006-2007,6000000
Fernando Navarro,RCD Mallorca,La Liga,2006-2007,6000000
Sidi Keita,Lens,Ligue 1,2006-2007,6000000
Javi Martínez,Athletic Bilbao,La Liga,2006-2007,6000000
Sébastien Frey,Fiorentina,Serie A,2006-2007,5750000
Yaya Touré,Monaco,Ligue 1,2006-2007,5500000
Fabio Grosso,Inter,Serie A,2006-2007,5500000
Daniel Moreira,Stade Rennais,Ligue 1,2006-2007,5500000
Mario Santana,Fiorentina,Serie A,2006-2007,5500000
Fábio Simplício,US Palermo,Serie A,2006-2007,5500000
Souleymane Diawara,Charlton,Premier League,2006-2007,5400000
Cristian Ledesma,Lazio,Serie A,2006-2007,5300000
Emiliano Bonazzoli,Sampdoria,Serie A,2006-2007,5250000
Fernando Morientes,Valencia CF,La Liga,2006-2007,5000000
Aleksandr Kerzhakov,Sevilla FC,La Liga,2006-2007,5000000
Diego Milito,Real Zaragoza,La Liga,2006-2007,5000000
Benoît Pedretti,AJ Auxerre,Ligue 1,2006-2007,5000000
Lilian Thuram,FC Barcelona,La Liga,2006-2007,5000000
Pierre-Alain Frau,Paris SG,Ligue 1,2006-2007,5000000
Ricardo Rocha,Spurs,Premier League,2006-2007,5000000
Johan Elmander,Toulouse,Ligue 1,2006-2007,5000000
Benoît Assou-Ekotto,Spurs,Premier League,2006-2007,5000000
Denílson,Arsenal,Premier League,2006-2007,5000000
Edinson Cavani,US Palermo,Serie A,2006-2007,5000000
Per Mertesacker,Werder Bremen,Bundesliga,2006-2007,4700000
Nelson Valdez,Bor. Dortmund,Bundesliga,2006-2007,4700000
Riki,Dep. La Coruña,La Liga,2006-2007,4640000
Sébastien Squillaci,Olympique Lyon,Ligue 1,2006-2007,4500000
Olivier Thomert,Stade Rennais,Ligue 1,2006-2007,4500000
Paulo André,Le Mans,Ligue 1,2006-2007,4500000
Niko Kranjcar,Portsmouth,Premier League,2006-2007,4500000
Franck Queudrue,Fulham,Premier League,2006-2007,4500000
Johann Vogel,Real Betis,La Liga,2006-2007,4500000
Federico Insúa,Bor. M'gladbach,Bundesliga,2006-2007,4500000
Fitz Hall,Wigan,Premier League,2006-2007,4500000
Yoann Gourcuff,AC Milan,Serie A,2006-2007,4500000
Greg Halford,Reading,Premier League,2006-2007,4500000
Denny Landzaat,Wigan,Premier League,2006-2007,4400000
Andy Reid,Charlton,Premier League,2006-2007,4200000
Calum Davenport,West Ham,Premier League,2006-2007,4200000
Fábio Santos,Olympique Lyon,Ligue 1,2006-2007,4200000
Alex Frei,Bor. Dortmund,Bundesliga,2006-2007,4100000
Simone Barone,Torino,Serie A,2006-2007,4100000
Milan Bisevac,Lens,Ligue 1,2006-2007,4100000
Jason Roberts,Blackburn,Premier League,2006-2007,4080000
Salomon Kalou,Chelsea,Premier League,2006-2007,4000000
Mista,Atlético Madrid,La Liga,2006-2007,4000000
Péguy Luyindula,Paris SG,Ligue 1,2006-2007,4000000
Matt Moussilou,OGC Nice,Ligue 1,2006-2007,4000000
Mariano Pernía,Atlético Madrid,La Liga,2006-2007,4000000
Andreas Hinkel,Sevilla FC,La Liga,2006-2007,4000000
Frédéric Thomas,AJ Auxerre,Ligue 1,2006-2007,4000000
Nenê,Celta de Vigo,La Liga,2006-2007,4000000
Leandro Somoza,Villarreal CF,La Liga,2006-2007,4000000
Álvaro Arbeloa,Liverpool,Premier League,2006-2007,3900000
Boubacar Sanogo,Hamburger SV,Bundesliga,2006-2007,3800000
Massimo Gobbi,Fiorentina,Serie A,2006-2007,3800000
Matthew Kilgallon,Sheffield Utd.,Premier League,2006-2007,3800000
Madjid Bougherra,Charlton,Premier League,2006-2007,3790000
Jimmy Bullard,Fulham,Premier League,2006-2007,3750000
Benni McCarthy,Blackburn,Premier League,2006-2007,3700000
Jonathan Santana,VfL Wolfsburg,Bundesliga,2006-2007,3600000
Ronald Zubar,Marseille,Ligue 1,2006-2007,3500000
Roberto Guana,US Palermo,Serie A,2006-2007,3500000
Jérémy Ménez,Monaco,Ligue 1,2006-2007,3500000
Stefano Mauri,Lazio,Serie A,2006-2007,3500000
Ricardo Osorio,VfB Stuttgart,Bundesliga,2006-2007,3500000
Diego Rivas,Real Sociedad,La Liga,2006-2007,3500000
Claude Davis,Sheffield Utd.,Premier League,2006-2007,3500000
Rob Hulse,Sheffield Utd.,Premier League,2006-2007,3450000
Christian Wilhelmsson,FC Nantes,Ligue 1,2006-2007,3300000
Daniele Bonera,AC Milan,Serie A,2006-2007,3300000
Daniel Niculae,AJ Auxerre,Ligue 1,2006-2007,3300000
David Cotterill,Wigan,Premier League,2006-2007,3200000
Pasquale Foggia,Lazio,Serie A,2006-2007,3150000
Johan Micoud,G. Bordeaux,Ligue 1,2006-2007,3000000
Steed Malbranque,Spurs,Premier League,2006-2007,3000000
Marco Cassetti,AS Roma,Serie A,2006-2007,3000000
Andreas Isaksson,Man City,Premier League,2006-2007,3000000
Juan Pablo Sorín,Hamburger SV,Bundesliga,2006-2007,3000000
Boško Jankovic,RCD Mallorca,La Liga,2006-2007,3000000
Robert Green,West Ham,Premier League,2006-2007,3000000
Markus Rosenberg,Werder Bremen,Bundesliga,2006-2007,3000000
Bernardo Corradi,Man City,Premier League,2006-2007,3000000
Erjon Bogdani,Chievo Verona,Serie A,2006-2007,3000000
Carlton Cole,West Ham,Premier League,2006-2007,3000000
Amara Diané,Paris SG,Ligue 1,2006-2007,3000000
Cribari,Lazio,Serie A,2006-2007,3000000
Yohan Hautcoeur,Saint-Étienne,Ligue 1,2006-2007,3000000
José Manuel Jurado,Atlético Madrid,La Liga,2006-2007,3000000
Amdy Fayé,Charlton,Premier League,2006-2007,3000000
André Ooijer,Blackburn,Premier League,2006-2007,3000000
Abdoulaye Fayé,Bolton,Premier League,2006-2007,3000000
Arthur Boka,VfB Stuttgart,Bundesliga,2006-2007,3000000
Nenad Kovacevic,Lens,Ligue 1,2006-2007,3000000
Pascal Cygan,Villarreal CF,La Liga,2006-2007,3000000
Clint Dempsey,Fulham,Premier League,2006-2007,3000000
Michel Bastos,LOSC Lille,Ligue 1,2006-2007,3000000
Christian Maggio,Sampdoria,Serie A,2006-2007,3000000
Zdravko Kuzmanovic,Fiorentina,Serie A,2006-2007,3000000
Gonzalo Vargas,Monaco,Ligue 1,2006-2007,3000000
Alexis Sánchez,Udinese Calcio,Serie A,2006-2007,3000000
Bolívar,Monaco,Ligue 1,2006-2007,3000000
Juan Pablo Pino,Monaco,Ligue 1,2006-2007,3000000
Tinga,Bor. Dortmund,Bundesliga,2006-2007,2900000
Mohamed Zidan,1.FSV Mainz 05,Bundesliga,2006-2007,2800000
Djimi Traoré,Charlton,Premier League,2006-2007,2800000
Karim Haggui,Bay. Leverkusen,Bundesliga,2006-2007,2780000
Marcelinho Paraíba,VfL Wolfsburg,Bundesliga,2006-2007,2750000
Aleksandar Lukovic,Udinese Calcio,Serie A,2006-2007,2700000
Gabriel Paletta,Liverpool,Premier League,2006-2007,2700000
Luton Shelton,Sheffield Utd.,Premier League,2006-2007,2700000
Marko Pantelic,Hertha BSC,Bundesliga,2006-2007,2600000
Modeste M'Bami,Marseille,Ligue 1,2006-2007,2500000
Kevin Kilbane,Wigan,Premier League,2006-2007,2500000
Luigi Pieroni,FC Nantes,Ligue 1,2006-2007,2500000
Fernando Torres,Liverpool,Premier League,2007-2008,38000000
Arjen Robben,Real Madrid,La Liga,2007-2008,35000000
Anderson,Man Utd,Premier League,2007-2008,31500000
Pepe,Real Madrid,La Liga,2007-2008,30000000
Franck Ribéry,Bayern Munich ,Bundesliga,2007-2008,30000000
Wesley Sneijder,Real Madrid,La Liga,2007-2008,27000000
Nani,Man Utd,Premier League,2007-2008,25500000
Owen Hargreaves,Man Utd,Premier League,2007-2008,25000000
Darren Bent,Spurs,Premier League,2007-2008,24750000
Thierry Henry,FC Barcelona,La Liga,2007-2008,24000000
Alexandre Pato,AC Milan,Serie A,2007-2008,24000000
Diego Forlán,Atlético Madrid,La Liga,2007-2008,21000000
Simão,Atlético Madrid,La Liga,2007-2008,20000000
Gabriel Milito,FC Barcelona,La Liga,2007-2008,20000000
Mirko Vucinic,AS Roma,Serie A,2007-2008,19500000
Florent Malouda,Chelsea,Premier League,2007-2008,19000000
Nicolas Anelka,Chelsea,Premier League,2007-2008,18000000
Éver Banega,Valencia CF,La Liga,2007-2008,18000000
Manuel Fernandes,Valencia CF,La Liga,2007-2008,18000000
Ryan Babel,Liverpool,Premier League,2007-2008,17250000
Afonso Alves,Middlesbrough,Premier League,2007-2008,17000000
Abdul Kader Keita,Olympique Lyon,Ligue 1,2007-2008,16800000
Yakubu Aiyegbeni,Everton,Premier League,2007-2008,16500000
Cristian Chivu,Inter,Serie A,2007-2008,16000000
Miroslav Klose,Bayern Munich ,Bundesliga,2007-2008,15000000
Éric Abidal,FC Barcelona,La Liga,2007-2008,15000000
Gareth Bale,Spurs,Premier League,2007-2008,14700000
Matuzalém,Real Zaragoza,La Liga,2007-2008,14500000
Royston Drenthe,Real Madrid,La Liga,2007-2008,14000000
Nikola Zigic,Valencia CF,La Liga,2007-2008,14000000
Marcell Jansen,Bayern Munich ,Bundesliga,2007-2008,14000000
Eduardo,Arsenal,Premier League,2007-2008,13500000
Tiago,Juventus,Serie A,2007-2008,13000000
David Suazo,Inter,Serie A,2007-2008,13000000
Raúl García,Atlético Madrid,La Liga,2007-2008,13000000
Rolando Bianchi,Man City,Premier League,2007-2008,13000000
Alan Hutton,Spurs,Premier League,2007-2008,13000000
Vedran Corluka,Man City,Premier League,2007-2008,13000000
Nigel Reo-Coker,Aston Villa,Premier League,2007-2008,12500000
José Antonio Reyes,Atlético Madrid,La Liga,2007-2008,12000000
Gabriel Heinze,Real Madrid,La Liga,2007-2008,12000000
Breno,Bayern Munich ,Bundesliga,2007-2008,12000000
Branislav Ivanovic,Chelsea,Premier League,2007-2008,12000000
Kieron Dyer,West Ham,Premier League,2007-2008,12000000
Arouna Koné,Sevilla FC,La Liga,2007-2008,12000000
Elano,Man City,Premier League,2007-2008,12000000
Younès Kaboul,Spurs,Premier League,2007-2008,12000000
Javier Arizmendi,Valencia CF,La Liga,2007-2008,12000000
Vincenzo Iaquinta,Juventus,Serie A,2007-2008,11300000
Craig Bellamy,West Ham,Premier League,2007-2008,11250000
Luca Toni,Bayern Munich ,Bundesliga,2007-2008,11000000
Mohamed Sissoko,Juventus,Serie A,2007-2008,11000000
Craig Gordon,Sunderland,Premier League,2007-2008,10820000
Jonathan Woodgate,Spurs,Premier League,2007-2008,10800000
Sulley Muntari,Portsmouth,Premier League,2007-2008,10510000
Jorge Andrade,Juventus,Serie A,2007-2008,10000000
Martin Skrtel,Liverpool,Premier League,2007-2008,10000000
Giuseppe Rossi,Villarreal CF,La Liga,2007-2008,10000000
Lucas Leiva,Liverpool,Premier League,2007-2008,10000000
John Utaka,Portsmouth,Premier League,2007-2008,10000000
Scott Parker,West Ham,Premier League,2007-2008,9700000
Jonathan Woodgate,Middlesbrough,Premier League,2007-2008,9600000
Jermain Defoe,Portsmouth,Premier League,2007-2008,9300000
Julien Faubert,West Ham,Premier League,2007-2008,9150000
Cicinho,AS Roma,Serie A,2007-2008,9000000
Djibril Cissé,Marseille,Ligue 1,2007-2008,9000000
Sergio Almirón,Juventus,Serie A,2007-2008,9000000
Yaya Touré,FC Barcelona,La Liga,2007-2008,9000000
José Sosa,Bayern Munich ,Bundesliga,2007-2008,9000000
Bacary Sagna,Arsenal,Premier League,2007-2008,9000000
Alan Smith,Newcastle,Premier League,2007-2008,9000000
Diomansy Kamara,Fulham,Premier League,2007-2008,9000000
David Nugent,Portsmouth,Premier League,2007-2008,9000000
Kenwyne Jones,Sunderland,Premier League,2007-2008,9000000
Mido,Middlesbrough,Premier League,2007-2008,8800000
Fabio Grosso,Olympique Lyon,Ligue 1,2007-2008,8700000
José Enrique,Newcastle,Premier League,2007-2008,8700000
Joey Barton,Newcastle,Premier League,2007-2008,8600000
Kieran Richardson,Sunderland,Premier League,2007-2008,8200000
Valeri Bojinov,Man City,Premier League,2007-2008,8000000
Rio Mavuba,Villarreal CF,La Liga,2007-2008,8000000
Karim Ziani,Marseille,Ligue 1,2007-2008,8000000
Boško Jankovic,US Palermo,Serie A,2007-2008,8000000
Aquivaldo Mosquera,Sevilla FC,La Liga,2007-2008,8000000
Cléber Santana,Atlético Madrid,La Liga,2007-2008,8000000
Kevin-Prince Boateng,Spurs,Premier League,2007-2008,7900000
Carlos Alberto,Werder Bremen,Bundesliga,2007-2008,7800000
Leighton Baines,Everton,Premier League,2007-2008,7500000
Mémé Tchité,Racing,La Liga,2007-2008,7500000
Grafite,VfL Wolfsburg,Bundesliga,2007-2008,7500000
Gary O'Neil,Middlesbrough,Premier League,2007-2008,7500000
James McFadden,Birmingham,Premier League,2007-2008,7500000
Nelson Rivas,Inter,Serie A,2007-2008,7500000
Michael Chopra,Sunderland,Premier League,2007-2008,7500000
Domenico Criscito,Juventus,Serie A,2007-2008,7500000
Alou Diarra,G. Bordeaux,Ligue 1,2007-2008,7400000
